"","site_id","date","AmpRatio","PhaseLag_h","Ratio_Mean","YEAR","AR_roll3","AR_roll7","AR_roll15","MR_roll3","MR_roll7","PL_roll7","PL_roll3"
"5660","W3_3",2023-09-01,0.09,-6.29,1,2023,0.0533333333333333,0.0542857142857143,0.135333333333333,0.996666666666667,0.99,-4.87142857142857,-6.83
"5661","W3_3",2023-09-02,0.26,-7.55,0.99,2023,0.126666666666667,0.0885714285714286,0.150666666666667,0.996666666666667,0.991428571428571,-5.04857142857143,-7.43333333333333
"5662","W3_3",2023-09-03,0.31,-5.83,0.99,2023,0.22,0.132857142857143,0.170666666666667,0.993333333333333,0.991428571428571,-6.15428571428571,-6.55666666666667
"5663","W3_3",2023-09-04,0.38,-6.27,0.99,2023,0.316666666666667,0.171428571428571,0.190666666666667,0.99,0.991428571428571,-6.04,-6.55
"5664","W3_3",2023-09-05,0.37,-5.86,0.99,2023,0.353333333333333,0.211428571428571,0.204,0.99,0.992857142857143,-6.57142857142857,-5.98666666666667
"5665","W3_3",2023-09-06,0.4,-5.72,0.99,2023,0.383333333333333,0.262857142857143,0.208666666666667,0.99,0.992857142857143,-6.56857142857143,-5.95
"5666","W3_3",2023-09-07,0.33,-6.07,0.99,2023,0.366666666666667,0.305714285714286,0.198666666666667,0.99,0.991428571428571,-6.22714285714286,-5.88333333333333
"5667","W3_3",2023-09-08,0.42,-4.75,1,2023,0.383333333333333,0.352857142857143,0.2,0.993333333333333,0.991428571428571,-6.00714285714286,-5.51333333333333
"5668","W3_3",2023-09-09,0.24,-2.65,0.99,2023,0.33,0.35,0.206,0.993333333333333,0.991428571428571,-5.30714285714286,-4.49
"5669","W3_3",2023-09-10,3.02,4.73,0.99,2023,1.22666666666667,0.737142857142857,0.406,0.993333333333333,0.991428571428571,-3.79857142857143,-0.89
"5670","W3_3",2023-09-11,0.16,1.05,0.99,2023,1.14,0.705714285714286,0.416666666666667,0.99,0.991428571428571,-2.75285714285714,1.04333333333333
"5671","W3_3",2023-09-12,0.01,-9.6,0.98,2023,1.06333333333333,0.654285714285714,0.41,0.986666666666667,0.99,-3.28714285714286,-1.27333333333333
"5672","W3_3",2023-09-13,0.01,-1.63,0.99,2023,0.06,0.598571428571429,0.404666666666667,0.986666666666667,0.99,-2.70285714285714,-3.39333333333333
"5673","W3_3",2023-09-14,0.01,3.03,1,2023,0.01,0.552857142857143,0.402666666666667,0.99,0.991428571428571,-1.40285714285714,-2.73333333333333
"5674","W3_3",2023-09-15,0.11,-2.2,1,2023,0.0433333333333333,0.508571428571429,0.408,0.996666666666667,0.991428571428571,-1.03857142857143,-0.266666666666667
"5675","W3_3",2023-09-16,0.22,4.49,1,2023,0.113333333333333,0.505714285714286,0.416666666666667,1,0.992857142857143,-0.0185714285714285,1.77333333333333
"5676","W3_3",2023-09-17,0.54,-7.13,1,2023,0.29,0.151428571428571,0.435333333333333,1,0.994285714285714,-1.71285714285714,-1.61333333333333
"5677","W3_3",2023-09-18,0.66,5.85,1,2023,0.473333333333333,0.222857142857143,0.458666666666667,1,0.995714285714286,-1.02714285714286,1.07
"5678","W3_3",2023-09-19,0.06,8.23,1,2023,0.42,0.23,0.437333333333333,1,0.998571428571429,1.52,2.31666666666667
"5679","W3_3",2023-09-22,0.48,-7.07,1,2023,0.4,0.297142857142857,0.444666666666667,1,1,0.742857142857143,2.33666666666667
"5680","W3_3",2023-09-23,0.52,-7.35,1,2023,0.353333333333333,0.37,0.452666666666667,1,1,-0.74,-2.06333333333333
"5681","W3_3",2023-09-24,0.71,-6.38,1,2023,0.57,0.455714285714286,0.478,1,1,-1.33714285714286,-6.93333333333333
"5682","W3_3",2023-09-25,0.51,-6.19,1,2023,0.58,0.497142857142857,0.484,1,1,-2.86285714285714,-6.64
"5683","W3_3",2023-09-26,0.56,-6.38,1,2023,0.593333333333333,0.5,0.505333333333333,1,1,-2.75571428571429,-6.31666666666667
"5684","W3_3",2023-09-27,0.66,-7.24,1,2023,0.576666666666667,0.5,0.348,1,1,-4.62571428571429,-6.60333333333333
"5685","W3_3",2023-09-28,0.55,-7.26,1,2023,0.59,0.57,0.374,1,1,-6.83857142857143,-6.96
"5686","W3_3",2023-09-29,0.23,-8.13,1,2023,0.48,0.534285714285714,0.388666666666667,1,1,-6.99,-7.54333333333333
"5687","W3_3",2023-09-30,0.7,-7.66,1,2023,0.493333333333333,0.56,0.434666666666667,1,1,-7.03428571428571,-7.68333333333333
"5688","W3_3",2023-10-01,0.74,-7.3,0.99,2023,0.556666666666667,0.564285714285714,0.483333333333333,0.996666666666667,0.998571428571429,-7.16571428571429,-7.69666666666667
"5689","W3_3",2023-10-02,0.53,-5.85,1,2023,0.656666666666667,0.567142857142857,0.511333333333333,0.996666666666667,0.998571428571429,-7.11714285714286,-6.93666666666667
"5690","W3_3",2023-10-03,0.64,-7.68,0.99,2023,0.636666666666667,0.578571428571429,0.539333333333333,0.993333333333333,0.997142857142857,-7.30285714285714,-6.94333333333333
"5691","W3_3",2023-10-04,0.57,-7.02,0.99,2023,0.58,0.565714285714286,0.541333333333333,0.993333333333333,0.995714285714286,-7.27142857142857,-6.85
"5692","W3_3",2023-10-05,0.48,-5.04,1,2023,0.563333333333333,0.555714285714286,0.529333333333333,0.993333333333333,0.995714285714286,-6.95428571428571,-6.58
"5693","W3_3",2023-10-06,0.85,6.99,1,2023,0.633333333333333,0.644285714285714,0.582,0.996666666666667,0.995714285714286,-4.79428571428571,-1.69
"5694","W3_3",2023-10-07,0.2,-0.21,1,2023,0.51,0.572857142857143,0.563333333333333,1,0.995714285714286,-3.73,0.58
"5695","W3_3",2023-10-08,0.15,-0.12,1.01,2023,0.4,0.488571428571429,0.538666666666667,1.00333333333333,0.998571428571429,-2.70428571428571,2.22
"5696","W3_3",2023-10-09,0.11,-6.17,1.01,2023,0.153333333333333,0.428571428571429,0.498666666666667,1.00666666666667,1,-2.75,-2.16666666666667
"5697","W3_3",2023-10-10,0.55,7.21,1.01,2023,0.27,0.415714285714286,0.501333333333333,1.01,1.00285714285714,-0.622857142857143,0.306666666666667
"5698","W3_3",2023-10-11,0.52,-7.84,1.01,2023,0.393333333333333,0.408571428571429,0.498666666666667,1.01,1.00571428571429,-0.74,-2.26666666666667
"5699","W3_3",2023-10-12,0.47,-6.86,1,2023,0.513333333333333,0.407142857142857,0.486,1.00666666666667,1.00571428571429,-1,-2.49666666666667
"5700","W3_3",2023-10-13,0.57,-7.19,1,2023,0.52,0.367142857142857,0.487333333333333,1.00333333333333,1.00571428571429,-3.02571428571429,-7.29666666666667
"5701","W3_3",2023-10-14,0.63,-6.32,1,2023,0.556666666666667,0.428571428571429,0.514,1,1.00571428571429,-3.89857142857143,-6.79
